Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13711430),Christian McCaffrey,13711430,RB/FLEX,10500,CAR@GB 11/10/2019 04:25PM ET,CAR,32.68
RB,Dalvin Cook (13711426),Dalvin Cook,13711426,RB/FLEX,9100,MIN@DAL 11/10/2019 08:20PM ET,MIN,24.91
RB,Ezekiel Elliott (13711306),Ezekiel Elliott,13711306,RB/FLEX,8900,MIN@DAL 11/10/2019 08:20PM ET,DAL,20.71
RB,Saquon Barkley (13711567),Saquon Barkley,13711567,RB/FLEX,8800,NYG@NYJ 11/10/2019 01:00PM ET,NYG,19.15
WR,Michael Thomas (13711216),Michael Thomas,13711216,WR/FLEX,8300,ATL@NO 11/10/2019 01:00PM ET,NO,24.45
RB,Alvin Kamara (13711376),Alvin Kamara,13711376,RB/FLEX,8200,ATL@NO 11/10/2019 01:00PM ET,NO,18.40
WR,Tyreek Hill (13711419),Tyreek Hill,13711419,WR/FLEX,7700,KC@TEN 11/10/2019 01:00PM ET,KC,17.82
WR,Mike Evans (13711144),Mike Evans,13711144,WR/FLEX,7600,ARI@TB 11/10/2019 01:00PM ET,TB,23.4
WR,Tyler Lockett (13711166),Tyler Lockett,13711166,WR/FLEX,7500,SEA@SF 11/11/2019 08:15PM ET,SEA,19.99
WR,Julio Jones (13711004),Julio Jones,13711004,WR/FLEX,7500,ATL@NO 11/10/2019 01:00PM ET,ATL,19.66
RB,Aaron Jones (13711329),Aaron Jones,13711329,RB/FLEX,7400,CAR@GB 11/10/2019 04:25PM ET,GB,21.56
WR,Chris Godwin (13711458),Chris Godwin,13711458,WR/FLEX,7400,ARI@TB 11/10/2019 01:00PM ET,TB,22.68
QB,Lamar Jackson (13711535),Lamar Jackson,13711535,QB,7300,BAL@CIN 11/10/2019 01:00PM ET,BAL,27.65
RB,Latavius Murray (13711030),Latavius Murray,13711030,RB/FLEX,7300,ATL@NO 11/10/2019 01:00PM ET,NO,13.78
WR,Cooper Kupp (13711280),Cooper Kupp,13711280,WR/FLEX,7300,LAR@PIT 11/10/2019 04:25PM ET,LAR,22.82
RB,James Conner (13711338),James Conner,13711338,RB/FLEX,7300,LAR@PIT 11/10/2019 04:25PM ET,PIT,18.37
WR,Amari Cooper (13711203),Amari Cooper,13711203,WR/FLEX,7200,MIN@DAL 11/10/2019 08:20PM ET,DAL,19.64
RB,Mark Ingram II (13711002),Mark Ingram II,13711002,RB/FLEX,7100,BAL@CIN 11/10/2019 01:00PM ET,BAL,17
WR,Stefon Diggs (13711255),Stefon Diggs,13711255,WR/FLEX,7100,MIN@DAL 11/10/2019 08:20PM ET,MIN,16.11
WR,Kenny Golladay (13711276),Kenny Golladay,13711276,WR/FLEX,7000,DET@CHI 11/10/2019 01:00PM ET,DET,19
RB,Nick Chubb (13711415),Nick Chubb,13711415,RB/FLEX,7000,BUF@CLE 11/10/2019 01:00PM ET,CLE,20.42
QB,Patrick Mahomes (13711496),Patrick Mahomes,13711496,QB,7000,KC@TEN 11/10/2019 01:00PM ET,KC,23.91
RB,Marlon Mack (13711501),Marlon Mack,13711501,RB/FLEX,7000,MIA@IND 11/10/2019 04:05PM ET,IND,13.96
WR,Adam Thielen (13711315),Adam Thielen,13711315,WR/FLEX,7000,MIN@DAL 11/10/2019 08:20PM ET,MIN,13.9
WR,Davante Adams (13711200),Davante Adams,13711200,WR/FLEX,6900,CAR@GB 11/10/2019 04:25PM ET,GB,15.98
RB,Le'Veon Bell (13711079),Le'Veon Bell,13711079,RB/FLEX,6900,NYG@NYJ 11/10/2019 01:00PM ET,NYJ,14.84
WR,Emmanuel Sanders (13710965),Emmanuel Sanders,13710965,WR/FLEX,6800,SEA@SF 11/11/2019 08:15PM ET,SF,13.71
QB,Jameis Winston (13711236),Jameis Winston,13711236,QB,6800,ARI@TB 11/10/2019 01:00PM ET,TB,21.90
TE,George Kittle (13711317),George Kittle,13711317,TE/FLEX,6700,SEA@SF 11/11/2019 08:15PM ET,SF,14.61
RB,Chris Carson (13711563),Chris Carson,13711563,RB/FLEX,6700,SEA@SF 11/11/2019 08:15PM ET,SEA,17.34
QB,Drew Brees (13710930),Drew Brees,13710930,QB,6700,ATL@NO 11/10/2019 01:00PM ET,NO,18.08
QB,Aaron Rodgers (13710936),Aaron Rodgers,13710936,QB,6600,CAR@GB 11/10/2019 04:25PM ET,GB,21.18
WR,T.Y. Hilton (13711032),T.Y. Hilton,13711032,WR/FLEX,6600,MIA@IND 11/10/2019 04:05PM ET,IND,16.33
QB,Russell Wilson (13710991),Russell Wilson,13710991,QB,6500,SEA@SF 11/11/2019 08:15PM ET,SEA,26.17
QB,Kyler Murray (13711548),Kyler Murray,13711548,QB,6500,ARI@TB 11/10/2019 01:00PM ET,ARI,19.94
QB,Matthew Stafford (13710964),Matthew Stafford,13710964,QB,6400,DET@CHI 11/10/2019 01:00PM ET,DET,23.32
TE,Travis Kelce (13710999),Travis Kelce,13710999,TE/FLEX,6400,KC@TEN 11/10/2019 01:00PM ET,KC,14.51
RB,Derrick Henry (13711311),Derrick Henry,13711311,RB/FLEX,6400,KC@TEN 11/10/2019 01:00PM ET,TEN,15.76
QB,Dak Prescott (13711135),Dak Prescott,13711135,QB,6400,MIN@DAL 11/10/2019 08:20PM ET,DAL,23.59
QB,Jimmy Garoppolo (13711101),Jimmy Garoppolo,13711101,QB,6300,SEA@SF 11/11/2019 08:15PM ET,SF,16.18
WR,Allen Robinson II (13711198),Allen Robinson II,13711198,WR/FLEX,6300,DET@CHI 11/10/2019 01:00PM ET,CHI,15.15
QB,Josh Allen (13711525),Josh Allen,13711525,QB,6300,BUF@CLE 11/10/2019 01:00PM ET,BUF,18.60
RB,Jaylen Samuels (13711444),Jaylen Samuels,13711444,RB/FLEX,6300,LAR@PIT 11/10/2019 04:25PM ET,PIT,8.83
WR,Michael Gallup (13711594),Michael Gallup,13711594,WR/FLEX,6300,MIN@DAL 11/10/2019 08:20PM ET,DAL,15.4
WR,Marvin Jones Jr. (13711014),Marvin Jones Jr.,13711014,WR/FLEX,6200,DET@CHI 11/10/2019 01:00PM ET,DET,17.24
QB,Jared Goff (13711298),Jared Goff,13711298,QB,6200,LAR@PIT 11/10/2019 04:25PM ET,LAR,18.78
WR,Odell Beckham Jr. (13711126),Odell Beckham Jr.,13711126,WR/FLEX,6100,BUF@CLE 11/10/2019 01:00PM ET,CLE,13.66
QB,Matt Ryan (13710940),Matt Ryan,13710940,QB,6100,ATL@NO 11/10/2019 01:00PM ET,ATL,24.17
RB,Todd Gurley II (13711260),Todd Gurley II,13711260,RB/FLEX,6100,LAR@PIT 11/10/2019 04:25PM ET,LAR,14.23
QB,Kirk Cousins (13710996),Kirk Cousins,13710996,QB,6100,MIN@DAL 11/10/2019 08:20PM ET,MIN,18.56
WR,A.J. Green (13711006),A.J. Green,13711006,WR/FLEX,6000,BAL@CIN 11/10/2019 01:00PM ET,CIN,0
WR,John Brown (13711040),John Brown,13711040,WR/FLEX,6000,BUF@CLE 11/10/2019 01:00PM ET,BUF,14.71
QB,Jacoby Brissett (13711182),Jacoby Brissett,13711182,QB,6000,MIA@IND 11/10/2019 04:05PM ET,IND,17.37
WR,Golden Tate (13710985),Golden Tate,13710985,WR/FLEX,5900,NYG@NYJ 11/10/2019 01:00PM ET,NYG,14.36
