Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (13581406),Saquon Barkley,13581406,RB/FLEX,8900,ARI@NYG 10/20/2019 01:00PM ET,NYG,18.03
RB,Ezekiel Elliott (13581130),Ezekiel Elliott,13581130,RB/FLEX,8100,PHI@DAL 10/20/2019 08:20PM ET,DAL,19.85
RB,Dalvin Cook (13581251),Dalvin Cook,13581251,RB/FLEX,8000,MIN@DET 10/20/2019 01:00PM ET,MIN,24.93
WR,Julio Jones (13580796),Julio Jones,13580796,WR/FLEX,8000,LAR@ATL 10/20/2019 01:00PM ET,ATL,18.97
WR,Michael Thomas (13581039),Michael Thomas,13581039,WR/FLEX,7900,NO@CHI 10/20/2019 04:25PM ET,NO,23.37
RB,David Johnson (13580884),David Johnson,13580884,RB/FLEX,7800,ARI@NYG 10/20/2019 01:00PM ET,ARI,20.22
WR,DeAndre Hopkins (13580920),DeAndre Hopkins,13580920,WR/FLEX,7800,HOU@IND 10/20/2019 01:00PM ET,HOU,16.03
WR,Davante Adams (13581014),Davante Adams,13581014,WR/FLEX,7600,OAK@GB 10/20/2019 01:00PM ET,GB,17.2
RB,Alvin Kamara (13581198),Alvin Kamara,13581198,RB/FLEX,7500,NO@CHI 10/20/2019 04:25PM ET,NO,18.40
WR,Cooper Kupp (13581102),Cooper Kupp,13581102,WR/FLEX,7400,LAR@ATL 10/20/2019 01:00PM ET,LAR,22.27
WR,Amari Cooper (13581026),Amari Cooper,13581026,WR/FLEX,7200,PHI@DAL 10/20/2019 08:20PM ET,DAL,20.08
RB,Aaron Jones (13581152),Aaron Jones,13581152,RB/FLEX,7100,OAK@GB 10/20/2019 01:00PM ET,GB,21.2
WR,Julian Edelman (13580763),Julian Edelman,13580763,WR/FLEX,7000,NE@NYJ 10/21/2019 08:15PM ET,NE,17.18
QB,Deshaun Watson (13581258),Deshaun Watson,13581258,QB,7000,HOU@IND 10/20/2019 01:00PM ET,HOU,27.19
RB,Leonard Fournette (13581233),Leonard Fournette,13581233,RB/FLEX,7000,JAX@CIN 10/20/2019 01:00PM ET,JAX,19.05
WR,Adam Thielen (13581137),Adam Thielen,13581137,WR/FLEX,6900,MIN@DET 10/20/2019 01:00PM ET,MIN,16.95
QB,Lamar Jackson (13581376),Lamar Jackson,13581376,QB,6800,BAL@SEA 10/20/2019 04:25PM ET,BAL,27.71
WR,Keenan Allen (13580905),Keenan Allen,13580905,WR/FLEX,6700,LAC@TEN 10/20/2019 04:05PM ET,LAC,19.1
TE,George Kittle (13581139),George Kittle,13581139,TE/FLEX,6700,SF@WAS 10/20/2019 01:00PM ET,SF,15.12
QB,Kyler Murray (13581383),Kyler Murray,13581383,QB,6700,ARI@NYG 10/20/2019 01:00PM ET,ARI,23.23
QB,Tom Brady (13580699),Tom Brady,13580699,QB,6600,NE@NYJ 10/21/2019 08:15PM ET,NE,22.67
QB,Russell Wilson (13580784),Russell Wilson,13580784,QB,6600,BAL@SEA 10/20/2019 04:25PM ET,SEA,27.04
RB,Mark Ingram II (13580794),Mark Ingram II,13580794,RB/FLEX,6600,BAL@SEA 10/20/2019 04:25PM ET,BAL,18.55
WR,Tyler Lockett (13580966),Tyler Lockett,13580966,WR/FLEX,6600,BAL@SEA 10/20/2019 04:25PM ET,SEA,16.82
WR,Michael Gallup (13581437),Michael Gallup,13581437,WR/FLEX,6500,PHI@DAL 10/20/2019 08:20PM ET,DAL,18.68
RB,Chris Carson (13581402),Chris Carson,13581402,RB/FLEX,6500,BAL@SEA 10/20/2019 04:25PM ET,SEA,18.9
TE,Evan Engram (13581182),Evan Engram,13581182,TE/FLEX,6500,ARI@NYG 10/20/2019 01:00PM ET,NYG,17.76
QB,Josh Allen (13581366),Josh Allen,13581366,QB,6500,MIA@BUF 10/20/2019 01:00PM ET,BUF,18.34
QB,Aaron Rodgers (13580709),Aaron Rodgers,13580709,QB,6400,OAK@GB 10/20/2019 01:00PM ET,GB,16.8
WR,A.J. Green (13580798),A.J. Green,13580798,WR/FLEX,6400,JAX@CIN 10/20/2019 01:00PM ET,CIN,0
RB,Todd Gurley II (13581083),Todd Gurley II,13581083,RB/FLEX,6400,LAR@ATL 10/20/2019 01:00PM ET,LAR,15.36
WR,Stefon Diggs (13581078),Stefon Diggs,13581078,WR/FLEX,6300,MIN@DET 10/20/2019 01:00PM ET,MIN,15.8
QB,Matt Ryan (13580714),Matt Ryan,13580714,QB,6300,LAR@ATL 10/20/2019 01:00PM ET,ATL,27.44
QB,Dak Prescott (13580932),Dak Prescott,13580932,QB,6200,PHI@DAL 10/20/2019 08:20PM ET,DAL,24.11
RB,Austin Ekeler (13581210),Austin Ekeler,13581210,RB/FLEX,6200,LAC@TEN 10/20/2019 04:05PM ET,LAC,22.85
WR,Will Fuller V (13581188),Will Fuller V,13581188,WR/FLEX,6200,HOU@IND 10/20/2019 01:00PM ET,HOU,16.4
QB,Jared Goff (13581120),Jared Goff,13581120,QB,6200,LAR@ATL 10/20/2019 01:00PM ET,LAR,16.56
WR,Terry McLaurin (13581304),Terry McLaurin,13581304,WR/FLEX,6100,SF@WAS 10/20/2019 01:00PM ET,WAS,19.96
