Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Larry Fitzgerald (13580722),Larry Fitzgerald,13580722,WR/FLEX,6100,ARI@NYG 10/20/2019 01:00PM ET,ARI,15.95
QB,Daniel Jones (13581384),Daniel Jones,13581384,QB,6100,ARI@NYG 10/20/2019 01:00PM ET,NYG,14.69
RB,Le'Veon Bell (13580878),Le'Veon Bell,13580878,RB/FLEX,6000,NE@NYJ 10/21/2019 08:15PM ET,NYJ,16.7
WR,Alshon Jeffery (13580855),Alshon Jeffery,13580855,WR/FLEX,6000,PHI@DAL 10/20/2019 08:20PM ET,PHI,13.94
QB,Carson Wentz (13581018),Carson Wentz,13581018,QB,6000,PHI@DAL 10/20/2019 08:20PM ET,PHI,20.92
QB,Jimmy Garoppolo (13580896),Jimmy Garoppolo,13580896,QB,6000,SF@WAS 10/20/2019 01:00PM ET,SF,15.30
RB,Marlon Mack (13581334),Marlon Mack,13581334,RB/FLEX,6000,HOU@IND 10/20/2019 01:00PM ET,IND,15.64
WR,DJ Chark Jr. (13581231),DJ Chark Jr.,13581231,WR/FLEX,6000,JAX@CIN 10/20/2019 01:00PM ET,JAX,19.8
WR,Josh Gordon (13580853),Josh Gordon,13580853,WR/FLEX,5900,NE@NYJ 10/21/2019 08:15PM ET,NE,9.13
RB,Melvin Gordon III (13580984),Melvin Gordon III,13580984,RB/FLEX,5900,LAC@TEN 10/20/2019 04:05PM ET,LAC,7.8
WR,T.Y. Hilton (13580826),T.Y. Hilton,13580826,WR/FLEX,5900,HOU@IND 10/20/2019 01:00PM ET,IND,17.8
WR,Robert Woods (13580899),Robert Woods,13580899,WR/FLEX,5900,LAR@ATL 10/20/2019 01:00PM ET,LAR,13.57
RB,Derrick Henry (13581135),Derrick Henry,13581135,RB/FLEX,5800,LAC@TEN 10/20/2019 04:05PM ET,TEN,15.13
WR,Golden Tate (13580780),Golden Tate,13580780,WR/FLEX,5800,ARI@NYG 10/20/2019 01:00PM ET,NYG,14.75
QB,Kirk Cousins (13580790),Kirk Cousins,13580790,QB,5800,MIN@DET 10/20/2019 01:00PM ET,MIN,16.99
WR,Kenny Golladay (13581098),Kenny Golladay,13581098,WR/FLEX,5800,MIN@DET 10/20/2019 01:00PM ET,DET,18.08
WR,DeSean Jackson (13580746),DeSean Jackson,13580746,WR/FLEX,5700,PHI@DAL 10/20/2019 08:20PM ET,PHI,19.2
QB,Drew Brees (13580700),Drew Brees,13580700,QB,5700,NO@CHI 10/20/2019 04:25PM ET,NO,12.66
WR,Sterling Shepard (13581057),Sterling Shepard,13581057,WR/FLEX,5700,ARI@NYG 10/20/2019 01:00PM ET,NYG,16.72
RB,Malcolm Brown (13580962),Malcolm Brown,13580962,RB/FLEX,5700,LAR@ATL 10/20/2019 01:00PM ET,LAR,4.9
RB,Sony Michel (13581245),Sony Michel,13581245,RB/FLEX,5600,NE@NYJ 10/21/2019 08:15PM ET,NE,10.45
WR,Marquise Brown (13581480),Marquise Brown,13581480,WR/FLEX,5600,BAL@SEA 10/20/2019 04:25PM ET,BAL,14.92
RB,Tevin Coleman (13581091),Tevin Coleman,13581091,RB/FLEX,5600,SF@WAS 10/20/2019 01:00PM ET,SF,12.47
QB,Jacoby Brissett (13580994),Jacoby Brissett,13580994,QB,5600,HOU@IND 10/20/2019 01:00PM ET,IND,18.82
WR,Tyler Boyd (13581157),Tyler Boyd,13581157,WR/FLEX,5600,JAX@CIN 10/20/2019 01:00PM ET,CIN,15.65
TE,Zach Ertz (13580848),Zach Ertz,13580848,TE/FLEX,5500,PHI@DAL 10/20/2019 08:20PM ET,PHI,12.77
WR,Allen Robinson II (13581010),Allen Robinson II,13581010,WR/FLEX,5500,NO@CHI 10/20/2019 04:25PM ET,CHI,16.74
QB,Philip Rivers (13580724),Philip Rivers,13580724,QB,5500,LAC@TEN 10/20/2019 04:05PM ET,LAC,18.97
RB,Wayne Gallman Jr. (13581141),Wayne Gallman Jr.,13581141,RB/FLEX,5500,ARI@NYG 10/20/2019 01:00PM ET,NYG,8.92
WR,John Brown (13580832),John Brown,13580832,WR/FLEX,5500,MIA@BUF 10/20/2019 01:00PM ET,BUF,15.28
QB,Andy Dalton (13580749),Andy Dalton,13580749,QB,5400,JAX@CIN 10/20/2019 01:00PM ET,CIN,17.61
QB,Gardner Minshew II (13581363),Gardner Minshew II,13581363,QB,5400,JAX@CIN 10/20/2019 01:00PM ET,JAX,17.20
RB,Devin Singletary (13581447),Devin Singletary,13581447,RB/FLEX,5400,MIA@BUF 10/20/2019 01:00PM ET,BUF,13.25
RB,Devonta Freeman (13580938),Devonta Freeman,13580938,RB/FLEX,5400,LAR@ATL 10/20/2019 01:00PM ET,ATL,14.97
WR,Brandin Cooks (13581000),Brandin Cooks,13581000,WR/FLEX,5400,LAR@ATL 10/20/2019 01:00PM ET,LAR,11.9
QB,Teddy Bridgewater (13580934),Teddy Bridgewater,13580934,QB,5300,NO@CHI 10/20/2019 04:25PM ET,NO,15.15
RB,Matt Breida (13581192),Matt Breida,13581192,RB/FLEX,5300,SF@WAS 10/20/2019 01:00PM ET,SF,14.58
TE,Austin Hooper (13581145),Austin Hooper,13581145,TE/FLEX,5300,LAR@ATL 10/20/2019 01:00PM ET,ATL,19.33
WR,Calvin Ridley (13581412),Calvin Ridley,13581412,WR/FLEX,5300,LAR@ATL 10/20/2019 01:00PM ET,ATL,14.38
QB,Sam Darnold (13581385),Sam Darnold,13581385,QB,5200,NE@NYJ 10/21/2019 08:15PM ET,NYJ,18.31
WR,Marquez Valdes-Scantling (13581155),Marquez Valdes-Scantling,13581155,WR/FLEX,5200,OAK@GB 10/20/2019 01:00PM ET,GB,9.03
QB,Matthew Stafford (13580750),Matthew Stafford,13580750,QB,5200,MIN@DET 10/20/2019 01:00PM ET,DET,19.36
RB,Frank Gore (13580702),Frank Gore,13580702,RB/FLEX,5200,MIA@BUF 10/20/2019 01:00PM ET,BUF,11.6
RB,Latavius Murray (13580824),Latavius Murray,13580824,RB/FLEX,5100,NO@CHI 10/20/2019 04:25PM ET,NO,5.92
QB,Mitchell Trubisky (13581125),Mitchell Trubisky,13581125,QB,5100,NO@CHI 10/20/2019 04:25PM ET,CHI,8.90
WR,Tyrell Williams (13581022),Tyrell Williams,13581022,WR/FLEX,5100,OAK@GB 10/20/2019 01:00PM ET,OAK,16.4
RB,Kerryon Johnson (13581394),Kerryon Johnson,13581394,RB/FLEX,5100,MIN@DET 10/20/2019 01:00PM ET,DET,14.02
WR,Randall Cobb (13580820),Randall Cobb,13580820,WR/FLEX,5000,PHI@DAL 10/20/2019 08:20PM ET,DAL,9.02
WR,Christian Kirk (13581348),Christian Kirk,13581348,WR/FLEX,5000,ARI@NYG 10/20/2019 01:00PM ET,ARI,13.75
QB,Derek Carr (13580843),Derek Carr,13580843,QB,5000,OAK@GB 10/20/2019 01:00PM ET,OAK,13.28
RB,Josh Jacobs (13581469),Josh Jacobs,13581469,RB/FLEX,5000,OAK@GB 10/20/2019 01:00PM ET,OAK,16.74
WR,Marvin Jones Jr. (13580807),Marvin Jones Jr.,13580807,WR/FLEX,5000,MIN@DET 10/20/2019 01:00PM ET,DET,11.76
RB,Joe Mixon (13581222),Joe Mixon,13581222,RB/FLEX,5000,JAX@CIN 10/20/2019 01:00PM ET,CIN,9.15
RB,James White (13580901),James White,13580901,RB/FLEX,4900,NE@NYJ 10/21/2019 08:15PM ET,NE,13.12
TE,Mark Andrews (13581220),Mark Andrews,13581220,TE/FLEX,4900,BAL@SEA 10/20/2019 04:25PM ET,BAL,16.33
QB,Chase Daniel (13580743),Chase Daniel,13580743,QB,4900,NO@CHI 10/20/2019 04:25PM ET,CHI,13.82
QB,Eli Manning (13580721),Eli Manning,13580721,QB,4900,ARI@NYG 10/20/2019 01:00PM ET,NYG,15.52
RB,Jamaal Williams (13581087),Jamaal Williams,13581087,RB/FLEX,4900,OAK@GB 10/20/2019 01:00PM ET,GB,10.96
WR,Geronimo Allison (13581228),Geronimo Allison,13581228,WR/FLEX,4900,OAK@GB 10/20/2019 01:00PM ET,GB,6.52
WR,Dede Westbrook (13581353),Dede Westbrook,13581353,WR/FLEX,4900,JAX@CIN 10/20/2019 01:00PM ET,JAX,10.1
QB,Matt Barkley (13580840),Matt Barkley,13580840,QB,4900,MIA@BUF 10/20/2019 01:00PM ET,BUF,4.08
WR,Phillip Dorsett II (13580942),Phillip Dorsett II,13580942,WR/FLEX,4800,NE@NYJ 10/21/2019 08:15PM ET,NE,10.96
RB,Jordan Howard (13581194),Jordan Howard,13581194,RB/FLEX,4800,PHI@DAL 10/20/2019 08:20PM ET,PHI,11.73
WR,DK Metcalf (13581475),DK Metcalf,13581475,WR/FLEX,4800,BAL@SEA 10/20/2019 04:25PM ET,SEA,10.33
RB,David Montgomery (13581478),David Montgomery,13581478,RB/FLEX,4800,NO@CHI 10/20/2019 04:25PM ET,CHI,10.14
QB,Ryan Tannehill (13580770),Ryan Tannehill,13580770,QB,4800,LAC@TEN 10/20/2019 04:05PM ET,TEN,2.58
QB,Marcus Mariota (13580999),Marcus Mariota,13580999,QB,4800,LAC@TEN 10/20/2019 04:05PM ET,TEN,14.84
WR,Marquise Goodwin (13580857),Marquise Goodwin,13580857,WR/FLEX,4800,SF@WAS 10/20/2019 01:00PM ET,SF,7.32
QB,Josh McCown (13580701),Josh McCown,13580701,QB,4700,PHI@DAL 10/20/2019 08:20PM ET,PHI,0.25
RB,Miles Sanders (13581465),Miles Sanders,13581465,RB/FLEX,4700,PHI@DAL 10/20/2019 08:20PM ET,PHI,9.97
RB,Chase Edmonds (13581278),Chase Edmonds,13581278,RB/FLEX,4700,ARI@NYG 10/20/2019 01:00PM ET,ARI,7.28
RB,Carlos Hyde (13580880),Carlos Hyde,13580880,RB/FLEX,4700,HOU@IND 10/20/2019 01:00PM ET,HOU,11.8
TE,Darren Waller (13580952),Darren Waller,13580952,TE/FLEX,4700,OAK@GB 10/20/2019 01:00PM ET,OAK,15.32
QB,DeShone Kizer (13581331),DeShone Kizer,13581331,QB,4700,OAK@GB 10/20/2019 01:00PM ET,OAK,0
WR,Cole Beasley (13580802),Cole Beasley,13580802,WR/FLEX,4700,MIA@BUF 10/20/2019 01:00PM ET,BUF,11.14
RB,Tarik Cohen (13581206),Tarik Cohen,13581206,RB/FLEX,4600,NO@CHI 10/20/2019 04:25PM ET,CHI,8.5
WR,Mike Williams (13581143),Mike Williams,13581143,WR/FLEX,4600,LAC@TEN 10/20/2019 04:05PM ET,LAC,9.86
QB,Case Keenum (13580767),Case Keenum,13580767,QB,4600,SF@WAS 10/20/2019 01:00PM ET,WAS,16.53
RB,Raheem Mostert (13580982),Raheem Mostert,13580982,RB/FLEX,4600,SF@WAS 10/20/2019 01:00PM ET,SF,8.14
QB,Mike Glennon (13580813),Mike Glennon,13580813,QB,4600,OAK@GB 10/20/2019 01:00PM ET,OAK,0
RB,Alexander Mattison (13581467),Alexander Mattison,13581467,RB/FLEX,4600,MIN@DET 10/20/2019 01:00PM ET,MIN,5.33
WR,Mohamed Sanu (13580838),Mohamed Sanu,13580838,WR/FLEX,4600,LAR@ATL 10/20/2019 01:00PM ET,ATL,11.55
WR,Robby Anderson (13581004),Robby Anderson,13581004,WR/FLEX,4500,NE@NYJ 10/21/2019 08:15PM ET,NYJ,10.12
QB,Cooper Rush (13581080),Cooper Rush,13581080,QB,4500,PHI@DAL 10/20/2019 08:20PM ET,DAL,0
RB,Tony Pollard (13581392),Tony Pollard,13581392,RB/FLEX,4500,PHI@DAL 10/20/2019 08:20PM ET,DAL,5.65
WR,Deebo Samuel (13581294),Deebo Samuel,13581294,WR/FLEX,4500,SF@WAS 10/20/2019 01:00PM ET,SF,7.92
QB,Dwayne Haskins Jr. (13581477),Dwayne Haskins Jr.,13581477,QB,4500,SF@WAS 10/20/2019 01:00PM ET,WAS,3.58
RB,Elijhaa Penny (13580990),Elijhaa Penny,13580990,RB/FLEX,4500,ARI@NYG 10/20/2019 01:00PM ET,NYG,1.08
QB,Sean Mannion (13580909),Sean Mannion,13580909,QB,4500,MIN@DET 10/20/2019 01:00PM ET,MIN,-0.2
RB,Giovani Bernard (13580882),Giovani Bernard,13580882,RB/FLEX,4500,JAX@CIN 10/20/2019 01:00PM ET,CIN,4.95
WR,Auden Tate (13581408),Auden Tate,13581408,WR/FLEX,4500,JAX@CIN 10/20/2019 01:00PM ET,CIN,10.02
QB,Ryan Fitzpatrick (13580704),Ryan Fitzpatrick,13580704,QB,4500,MIA@BUF 10/20/2019 01:00PM ET,MIA,5.82
QB,Josh Rosen (13581367),Josh Rosen,13581367,QB,4500,MIA@BUF 10/20/2019 01:00PM ET,MIA,4.60
QB,Blake Bortles (13580924),Blake Bortles,13580924,QB,4500,LAR@ATL 10/20/2019 01:00PM ET,LAR,0
RB,Ito Smith (13581286),Ito Smith,13581286,RB/FLEX,4500,LAR@ATL 10/20/2019 01:00PM ET,ATL,5.93
DST,Patriots  (13580687),Patriots ,13580687,DST,4400,NE@NYJ 10/21/2019 08:15PM ET,NE,20.67
QB,Robert Griffin III (13580793),Robert Griffin III,13580793,QB,4400,BAL@SEA 10/20/2019 04:25PM ET,BAL,7.1
QB,Geno Smith (13580871),Geno Smith,13580871,QB,4400,BAL@SEA 10/20/2019 04:25PM ET,SEA,0
QB,Colt McCoy (13580748),Colt McCoy,13580748,QB,4400,SF@WAS 10/20/2019 01:00PM ET,WAS,5.28
RB,Nyheim Hines (13581386),Nyheim Hines,13581386,RB/FLEX,4400,HOU@IND 10/20/2019 01:00PM ET,IND,6.6
QB,Tim Boyle (13581154),Tim Boyle,13581154,QB,4400,OAK@GB 10/20/2019 01:00PM ET,GB,0
QB,Josh Dobbs (13581151),Josh Dobbs,13581151,QB,4400,JAX@CIN 10/20/2019 01:00PM ET,JAX,0
QB,Nick Mullens (13581175),Nick Mullens,13581175,QB,4300,SF@WAS 10/20/2019 01:00PM ET,SF,0
QB,Brett Hundley (13580925),Brett Hundley,13580925,QB,4300,ARI@NYG 10/20/2019 01:00PM ET,ARI,0
QB,AJ McCarron (13580861),AJ McCarron,13580861,QB,4300,HOU@IND 10/20/2019 01:00PM ET,HOU,0
WR,Kenny Stills (13580876),Kenny Stills,13580876,WR/FLEX,4300,HOU@IND 10/20/2019 01:00PM ET,HOU,8.95
QB,Nick Foles (13580789),Nick Foles,13580789,QB,4300,JAX@CIN 10/20/2019 01:00PM ET,JAX,7
RB,Ryquell Armstead (13581424),Ryquell Armstead,13581424,RB/FLEX,4300,JAX@CIN 10/20/2019 01:00PM ET,JAX,2.38
DST,Bills  (13580674),Bills ,13580674,DST,4300,MIA@BUF 10/20/2019 01:00PM ET,BUF,8.2
RB,Rex Burkhead (13580844),Rex Burkhead,13580844,RB/FLEX,4200,NE@NYJ 10/21/2019 08:15PM ET,NE,10.72
QB,Jarrett Stidham (13581350),Jarrett Stidham,13581350,QB,4200,NE@NYJ 10/21/2019 08:15PM ET,NE,-0.22
WR,Willie Snead IV (13580928),Willie Snead IV,13580928,WR/FLEX,4200,BAL@SEA 10/20/2019 04:25PM ET,BAL,8.22
RB,Gus Edwards (13581147),Gus Edwards,13581147,RB/FLEX,4200,BAL@SEA 10/20/2019 04:25PM ET,BAL,4.47
QB,Tyrod Taylor (13580779),Tyrod Taylor,13580779,QB,4200,LAC@TEN 10/20/2019 04:05PM ET,LAC,0.04
WR,Paul Richardson Jr. (13580918),Paul Richardson Jr.,13580918,WR/FLEX,4200,SF@WAS 10/20/2019 01:00PM ET,WAS,8.05
RB,Jeff Wilson Jr. (13581282),Jeff Wilson Jr.,13581282,RB/FLEX,4200,SF@WAS 10/20/2019 01:00PM ET,SF,9.73
TE,Jimmy Graham (13580739),Jimmy Graham,13580739,TE/FLEX,4200,OAK@GB 10/20/2019 01:00PM ET,GB,6.82
QB,David Fales (13580866),David Fales,13580866,QB,4100,NE@NYJ 10/21/2019 08:15PM ET,NYJ,0
WR,Nelson Agholor (13581055),Nelson Agholor,13581055,WR/FLEX,4100,PHI@DAL 10/20/2019 08:20PM ET,PHI,11
QB,Taysom Hill (13580850),Taysom Hill,13580850,QB,4100,NO@CHI 10/20/2019 04:25PM ET,NO,3.29
DST,49ers  (13580694),49ers ,13580694,DST,4100,SF@WAS 10/20/2019 01:00PM ET,SF,14
RB,Adrian Peterson (13580735),Adrian Peterson,13580735,RB/FLEX,4100,SF@WAS 10/20/2019 01:00PM ET,WAS,7.76
WR,Dante Pettis (13581315),Dante Pettis,13581315,WR/FLEX,4100,SF@WAS 10/20/2019 01:00PM ET,SF,4.79
RB,Javorius Allen (13580946),Javorius Allen,13580946,RB/FLEX,4100,ARI@NYG 10/20/2019 01:00PM ET,NYG,0
WR,Darius Slayton (13581396),Darius Slayton,13581396,WR/FLEX,4100,ARI@NYG 10/20/2019 01:00PM ET,NYG,9.22
QB,Brian Hoyer (13580732),Brian Hoyer,13580732,QB,4100,HOU@IND 10/20/2019 01:00PM ET,IND,0
QB,Chad Kelly (13581038),Chad Kelly,13581038,QB,4100,HOU@IND 10/20/2019 01:00PM ET,IND,0
RB,Duke Johnson (13581059),Duke Johnson,13581059,RB/FLEX,4100,HOU@IND 10/20/2019 01:00PM ET,HOU,8.57
WR,Hunter Renfrow (13581336),Hunter Renfrow,13581336,WR/FLEX,4100,OAK@GB 10/20/2019 01:00PM ET,OAK,4.42
QB,Jeff Driskel (13580937),Jeff Driskel,13580937,QB,4100,MIN@DET 10/20/2019 01:00PM ET,DET,0
QB,David Blough (13581230),David Blough,13581230,QB,4100,MIN@DET 10/20/2019 01:00PM ET,DET,0
QB,Ryan Finley (13581132),Ryan Finley,13581132,QB,4100,JAX@CIN 10/20/2019 01:00PM ET,CIN,0
RB,Kenyan Drake (13581081),Kenyan Drake,13581081,RB/FLEX,4100,MIA@BUF 10/20/2019 01:00PM ET,MIA,9.4
WR,Duke Williams (13581253),Duke Williams,13581253,WR/FLEX,4100,MIA@BUF 10/20/2019 01:00PM ET,BUF,12.9
QB,Matt Schaub (13580727),Matt Schaub,13580727,QB,4100,LAR@ATL 10/20/2019 01:00PM ET,ATL,0
QB,Cody Kessler (13580933),Cody Kessler,13580933,QB,4000,NE@NYJ 10/21/2019 08:15PM ET,NE,0
WR,Jamison Crowder (13580950),Jamison Crowder,13580950,WR/FLEX,4000,NE@NYJ 10/21/2019 08:15PM ET,NYJ,11.12
WR,Jakobi Meyers (13581388),Jakobi Meyers,13581388,WR/FLEX,4000,NE@NYJ 10/21/2019 08:15PM ET,NE,4
QB,Nate Sudfeld (13581093),Nate Sudfeld,13581093,QB,4000,PHI@DAL 10/20/2019 08:20PM ET,PHI,0
QB,Trace McSorley (13581308),Trace McSorley,13581308,QB,4000,BAL@SEA 10/20/2019 04:25PM ET,BAL,0
RB,Rashaad Penny (13581332),Rashaad Penny,13581332,RB/FLEX,4000,BAL@SEA 10/20/2019 04:25PM ET,SEA,7.4
WR,Corey Davis (13581133),Corey Davis,13581133,WR/FLEX,4000,LAC@TEN 10/20/2019 04:05PM ET,TEN,7.62
TE,Hunter Henry (13581161),Hunter Henry,13581161,TE/FLEX,4000,LAC@TEN 10/20/2019 04:05PM ET,LAC,21.5
QB,Easton Stick (13581271),Easton Stick,13581271,QB,4000,LAC@TEN 10/20/2019 04:05PM ET,LAC,0
RB,Chris Thompson (13580864),Chris Thompson,13580864,RB/FLEX,4000,SF@WAS 10/20/2019 01:00PM ET,WAS,10.42
QB,C.J. Beathard (13581061),C.J. Beathard,13581061,QB,4000,SF@WAS 10/20/2019 01:00PM ET,SF,0
WR,Damiere Byrd (13580964),Damiere Byrd,13580964,WR/FLEX,4000,ARI@NYG 10/20/2019 01:00PM ET,ARI,7.4
QB,Alex Tanney (13581021),Alex Tanney,13581021,QB,4000,ARI@NYG 10/20/2019 01:00PM ET,NYG,0
QB,Andrew Luck (13580806),Andrew Luck,13580806,QB,4000,HOU@IND 10/20/2019 01:00PM ET,IND,0
WR,Zach Pascal (13581045),Zach Pascal,13581045,WR/FLEX,4000,HOU@IND 10/20/2019 01:00PM ET,IND,5.5
QB,Alex McGough (13581257),Alex McGough,13581257,QB,4000,HOU@IND 10/20/2019 01:00PM ET,HOU,0
WR,Parris Campbell (13581302),Parris Campbell,13581302,WR/FLEX,4000,HOU@IND 10/20/2019 01:00PM ET,IND,5.48
QB,Jake Dolegala (13581430),Jake Dolegala,13581430,QB,4000,JAX@CIN 10/20/2019 01:00PM ET,CIN,0
WR,Anthony Miller (13581180),Anthony Miller,13581180,WR/FLEX,3900,NO@CHI 10/20/2019 04:25PM ET,CHI,3.2
WR,Taylor Gabriel (13581200),Taylor Gabriel,13581200,WR/FLEX,3900,NO@CHI 10/20/2019 04:25PM ET,CHI,13.37
RB,Dion Lewis (13580841),Dion Lewis,13580841,RB/FLEX,3900,LAC@TEN 10/20/2019 04:05PM ET,TEN,4.27
WR,KeeSean Johnson (13581327),KeeSean Johnson,13581327,WR/FLEX,3900,ARI@NYG 10/20/2019 01:00PM ET,ARI,5.47
TE,Eric Ebron (13580974),Eric Ebron,13580974,TE/FLEX,3900,HOU@IND 10/20/2019 01:00PM ET,IND,6.92
RB,Jordan Wilkins (13581184),Jordan Wilkins,13581184,RB/FLEX,3900,HOU@IND 10/20/2019 01:00PM ET,IND,3.2
RB,T.J. Yeldon (13581028),T.J. Yeldon,13581028,RB/FLEX,3900,MIA@BUF 10/20/2019 01:00PM ET,BUF,4.7
WR,Preston Williams (13581370),Preston Williams,13581370,WR/FLEX,3900,MIA@BUF 10/20/2019 01:00PM ET,MIA,9.24
TE,Delanie Walker (13580717),Delanie Walker,13580717,TE/FLEX,3800,LAC@TEN 10/20/2019 04:05PM ET,TEN,9.08
WR,A.J. Brown (13581473),A.J. Brown,13581473,WR/FLEX,3800,LAC@TEN 10/20/2019 04:05PM ET,TEN,9.38
RB,Jalen Richard (13581070),Jalen Richard,13581070,RB/FLEX,3800,OAK@GB 10/20/2019 01:00PM ET,OAK,3.34
RB,Dexter Williams (13581422),Dexter Williams,13581422,RB/FLEX,3800,OAK@GB 10/20/2019 01:00PM ET,GB,0
WR,Danny Amendola (13580730),Danny Amendola,13580730,WR/FLEX,3800,MIN@DET 10/20/2019 01:00PM ET,DET,8.92
RB,Ty Johnson (13581377),Ty Johnson,13581377,RB/FLEX,3800,MIN@DET 10/20/2019 01:00PM ET,DET,2.02
WR,DeVante Parker (13580956),DeVante Parker,13580956,WR/FLEX,3800,MIA@BUF 10/20/2019 01:00PM ET,MIA,9.58
